prerequisite_course,target_course,relation_context
PHYS 1C,CHEM 125,AND
CHEM 6C,CHEM 126B,AND
MATH 20D,CHEM 126B,AND
PHYS 2C,CHEM 126B,AND
CHEM 6C,CHEM 130,AND
MATH 20C,CHEM 130,AND
PHYS 2C,CHEM 130,AND
CHEM 130,CHEM 131,AND
CHEM 6C,CHEM 132,AND
PHYS 2C,CHEM 132,AND
MATH 20D,CHEM 134,AND
CHEM 40A,CHEM 135,AND
BIBC 100,CHEM 141,OR/complex
BILD 1,CHEM 141,OR/complex
CHEM 114A,CHEM 141,OR/complex
CHEM 40B,CHEM 141,OR/complex
CHEM 40B,CHEM 142,AND
CHEM 43A,CHEM 142,AND
CHEM 40B,CHEM 143B,AND
CHEM 43A,CHEM 143B,AND
CHEM 143B,CHEM 143C,AND
CHEM 40C,CHEM 143C,AND
CHEM 40B,CHEM 143D,AND
CHEM 40C,CHEM 145,AND
CHEM 40A,CHEM 146,AND
CHEM 40C,CHEM 151,AND
CHEM 40C,CHEM 152,AND
CHEM 152,CHEM 154,AND
CHEM 40C,CHEM 155,AND
CHEM 40C,CHEM 156,AND
CHEM 40C,CHEM 157,AND
BIBC 100,CHEM 158,OR/complex
BIBC 102,CHEM 158,OR/complex
BIMM 100,CHEM 158,OR/complex
CHEM 114A,CHEM 158,OR/complex
CHEM 114B,CHEM 158,OR/complex
CHEM 114C,CHEM 158,OR/complex
BIBC 100,CHEM 164,OR/complex
CHEM 114A,CHEM 164,OR/complex
CHEM 114A,CHEM 165,AND
CHEM 40C,CHEM 165,AND
CHEM 114A,CHEM 167,AND
CHEM 40C,CHEM 167,AND
CHEM 6C,CHEM 168,AND
CHEM 6C,CHEM 171,AND
CHEM 6C,CHEM 172,AND
CHEM 6C,CHEM 173,AND
BIMM 181,CHEM 174,OR/complex
CSE 181,CHEM 174,OR/complex
MATH 20C,CHEM 184,AND
CHEM 126B,CHEM 185,OR/complex
CHEM 130,CHEM 185,OR/complex
MATH 20C,CHEM 185,OR/complex
CHEM 6C,CHEM 186,OR/complex
CHEM 96,CHEM 186,OR/complex
CHEM 6C,CHEM 187,AND
CHEM 6B,CHEM 40A,OR/complex
CHEM 6BH,CHEM 40A,OR/complex
CHEM 6C,CHEM 40AH,OR/complex
CHEM 6CH,CHEM 40AH,OR/complex
CHEM 40A,CHEM 40B,AND
CHEM 40A,CHEM 40BH,AND
CHEM 40B,CHEM 40C,AND
CHEM 40B,CHEM 40CH,AND
CHEM 40BH,CHEM 40CH,AND
CHEM 7L,CHEM 43A,AND
CHEM 40A,CHEM 43AM,AND
CHEM 7L,CHEM 43AM,AND
CHEM 6A,CHEM 6B,AND
MATH 10A,CHEM 6B,AND
CHEM 6AH,CHEM 6BH,AND
MATH 20A,CHEM 6BH,AND
CHEM 6B,CHEM 6C,AND
CHEM 6BH,CHEM 6CH,AND
MATH 20B,CHEM 6CH,AND
CHEM 6B,CHEM 7L,OR/complex
CHEM 6BH,CHEM 7L,OR/complex
CHEM 6B,CHEM 7LM,OR/complex
CHEM 6BH,CHEM 7LM,OR/complex
CHIN 100AN,CHIN 100AM,AND
CHIN 20CD,CHIN 100AN,OR/complex
CHIN 20CM,CHIN 100AN,OR/complex
CHIN 100BN,CHIN 100BM,AND
CHIN 100AM,CHIN 100BN,AND
CHIN 100BM,CHIN 100CN,AND
CHIN 10AM,CHIN 10BD,AND
CHIN 10AM,CHIN 10BM,AND
CHIN 10AN,CHIN 10BN,AND
CHIN 10BD,CHIN 10CD,AND
CHIN 10BM,CHIN 10CM,AND
CHIN 10BN,CHIN 10CN,AND
CHIN 100CM,CHIN 160/260,AND
CHIN 100CN,CHIN 160/260,AND
CHIN 100CM,CHIN 182C,AND
CHIN 100CN,CHIN 182C,AND
CHIN 100CM,CHIN 185A-B-C,AND
CHIN 100CN,CHIN 185A-B-C,AND
CHIN 10CD,CHIN 20AD,AND
CHIN 10CM,CHIN 20AM,AND
CHIN 10CN,CHIN 20AN,AND
CHIN 20BN,CHIN 20BD,AND
CHIN 20AD,CHIN 20BM,AND
CHIN 20AN,CHIN 20BN,AND
CHIN 20CN,CHIN 20CD,AND
CHIN 20BD,CHIN 20CM,AND
CHIN 20BM,CHIN 20CN,AND
COGS 1,COGS 100,OR/complex
COGS 10,COGS 100,OR/complex
COGS 1,COGS 101A,AND
COGS 1,COGS 101B,AND
COGS 1,COGS 101C,AND
COGS 1,COGS 102A,AND
COGS 10,COGS 102A,AND
COGS 102A,COGS 102B,AND
COGS 102B,COGS 102C,AND
COGS 1,COGS 107A,OR/complex
COGS 17,COGS 107A,OR/complex
COGS 107A,COGS 107B,AND
COGS 107B,COGS 107C,AND
COGS 18,COGS 108,OR/complex
CSE 11,COGS 108,OR/complex
CSE 8A,COGS 108,OR/complex
DSC 10,COGS 108,OR/complex
COGS 14B,COGS 109,OR/complex
COGS 18,COGS 109,OR/complex
CSE 11,COGS 109,OR/complex
CSE 8A,COGS 109,OR/complex
MATH 18,COGS 109,OR/complex
MATH 31AH,COGS 109,OR/complex
COGS 1,COGS 110,OR/complex
HDS 1,COGS 110,OR/complex
BILD 10,COGS 115,OR/complex
BILD 12,COGS 115,OR/complex
COGS 107A,COGS 115,OR/complex
